model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.794180269694819,0.6346153846153846,0.5294117647058824,0.577259475218659,0.8390632669405047
RandomForest,0.7771469127040455,0.5986842105263158,0.48663101604278075,0.5368731563421829,0.8033532253481103
GradientBoosting,0.7984386089425124,0.6442307692307693,0.5374331550802139,0.5860058309037901,0.835412953060012
